ID,Text_Input
295,My leader provides me a proper and clear vision about the organizations goals and its expectations from me. Also he guides me the steps required on day to day or weekly basis so that each day I am moving towards my goals and proving my worth to the organiation. If any mistake committed on my part then instead of torturing I get a clear coaching of what my mistake is and in future how I can avoid it.
296,I would say that I have a somewhat unusual relationship with my manager in the fact that I trained him for his job. His predecessor (my last manager) had left and I was filling in until they could replace her. During that time I learned her job as well asfinished learning the ropes of my own job given the fact that I was only with the company for five months when the last manager left. Therefore I actually ended up training Bryan when he came in. He depends upon and trusts me a great deal in our relationsip and our working together is really more about a collaboration than would be typical.
297,"My manager doesn't provide me with a large amount of coaching and development. However, that is fine with me because I don't want somebody annoying me anyway. I dont think I need somebody hovering over me to provide guidance, even when it's not jrcrssary.y leader shows that he respects me by being considerate and respectful when dealing with me. Our communications and interactions have always been civil and respectful. I would say that my co-workers and I have the same type of relationship with our supervsor. He doesn't appear to choose favorites, and we all seem to be on the same level."
298,"Although my manager accept me as a good worker, he still can't be a dependable leader.  He sometimes, desert the workers in between in times of adversities.  He can't be counted on times of emergency.  Sometimes he is not accessible too.  When we have som important family matters to deal with and leave is a necessity, he just ignore all the good works that we did in the past and just harass us for asking for a leave.  That behavior always irritated me a lot.  I just couldn't get along with it.  Secondly h is just focusing on goals only, but never bothered about the  ways by which we can attain the goal."
299,"My relationship with my leader at work is particularly professional but we enjoy our impersonal relation also in some other setting. My leader is ideal for me because he has trained me from the basic. He always have a sense of humor at highest. Not, only e he favors all the staffs also motivates for work quality. He is ideal for every employee, he gives emphasis on enhancement of personal skill. One in another way, he's been perfect leader, motivator, persuader, he is the central figure on which everythin revolves around. Frankly, speaking I am close to our leader in many impersonal settings precisely outside the office premises."
300,My leader is very good at his job and encourages all of us to do the best we can. Our leader respects everyone at our work and is very vocal about coaching us to be the best workers we can be. My relationship with the boss is the same as all the other worers. Our leader cares for us all equally and is willing to do whatever it takes to help us succeed. He is willing to help any of us out with anything we need withing reason. Its great to have such a strong willed person leading us and letting us know we cn accomplish anything.
301,"My leader is a former mid-level military officer.  He has not made a noticeable transition from his military days to his new role in managing civilians.  He rules with a slightly weakened iron fist.  He expects full attention and allegiance, doesn't accep the opinions or suggestions of subordinates, is not friendly, can be rude and unforgiving, but runs a productive division within the company. He treats all of his subordinates equally and I suspect that most of my co-workers would share my opinions fairl closely.  There is little if any positive feedback.  The reward in doing the job is to be found in knowing that one's responsibilities to the company and to the customers are being fulfilled at a high level."
302,My relationship with my manager is very open. She is future oriented and anticipates changes. She is also open to my feedback as she knows that I can tell what works and what doesn't because I work with the company software on a daily basis. This working elationship has headed off potential project failures because I am able to see the limits of the software in relationship to what my manager is trying to do so that she can implement upgrades and procedure changes. My manager recognizes each of our strenghs and weaknesses and works with us on an individual basis. She does not try to get us to compete against each other.
303,"My relationship with my ""leader"" -- the HR representative who is over secretaries -- is rather good.  I'm viewed in sort of two ways by HR:  (1) a very valuable asset who is extremely capable and agreeable - in short, someone who is willing to help whenevr needed and who can do almost any task given, whether secretarial, IT, or web design; and (2) someone who they don't really like because I'm very smart and they have the notion that I am a bit superior, which I really try to not convey.  They are always ery, very polite and sometimes friendly.  One slight way in which they could show respect more is that when asking a large favor -- to cover someone extra for, say, 3 months, they could be courteous enough to walk down the hall (100 feet) and give the assgnment in person.  Obviously, phone is fine for small requests.  

My relationship as opposed to co-workers?  I can't say.  I think they are generally fair and polite to everyone.  Perhaps they have personality favorites -- I do not know.

We get training but only as needed to do our work."
304,"I really receive no coaching at all. My supervisor takes a very hands off approach. I think that I only get talked to if I do poorly or if I screw up. I think he may or may not respect me. He really only speaks to me when something goes wrong or when ther is new information that he has to give me. I do quite well at my company and I am glad that I do because other people constantly have to talk to him and get talked down to by him. People who do not perform as well as I do are constantly being forced to iteract with him. I am excused from many meetings and conference calls that others are forced to attend/be on. From what I hear, these meetings and calls are less about managing or coaching and more about complaining and demanding better results"
305,I have e been in my position for 9 years so I do not need coaching or development. My leader stays in his office. Some of the new people don't even know who he is. Ver anti social. It's always their way or the highway without a solid explanation. Relationhips with co workers far outweigh in a positive way than relationships with managers.
306,"The relationship is cordial and professional, but definitely one-sided. My manager cares about my job satisfaction only to the extent that it affects results and thereby, his performance. He does offer advice, but generally that advice has less to do withme and more about how to get around obstacles, and often the recommended approach is acquiescence by me. I wouldn't call that coaching. In terms of respect, he does make himself available and is quite a good listener. Generally, I would say that I am treaed on par with my peers, that is to say, my manager's behaviors are no better or worse toward me than toward others."
307,My leader provides appropriate and necessary training.
308,"Our leader provides very good coaching and gives practical training , He treats politely and greets well. He responds immediately to all my issues and considers my requests a lot. He is always humble and loyal to me. This was a pretty stupid thing for me o say, but I still think my point was right. In some organizations, almost anyone can get promoted to management if they put in the time and play the right politics. Instead of trying to become a mere manager, therefore, why not aspire to become a great lader?"
309,My leader is often in the background at my job but always make an effort to interact with me each week and praise me for doing things.  He always is available by email or phone and always makes an effort to ask how I am doing and how we can improve the enironment that we work in.  It is a really positive relationship because he will bounce ideas off of me and I can do the same with him.  We have  a great working relationship where he really lets me do what I want as long as I get the job done correctly an efficiently.
310,"My immediate boss is a genius ! he can read people's mentalities at a glance.He is an easy going person at the same knows how to extract work from the team without being a taunt.His behaviour towards the team is like any family member who embraces calmnes and dictates what he wants like an elder brother ! He shows respect towards each of us without being very bossy like any other boss ! His leadership qualities make him a lovable person and the team is willing to serve under him in any dire consequences fr ex : we had this release in a short period but unfortunately had booked a vacation for a week.But my conscience dint allow me to go on a vacation when my services were needed,Hence I had to cancel my vacation."
311,"he is giving small amount of coaching to me about the new works assigned to me. But I will gather information from all other sources and will finish the work very correctly. That's why my manager like me and consider to assign new works for me. He respectme by way of hearing words whenever I called him. He respect me more than compare to others. If myself and my co-worker asked any questions, he will reply to me first because of my activities. I also respect him by way of straight talk without any hidden ole. So, he likes me very much compare to other."
312,"My leader doesn't really provide me with coaching or development.  To be honest, I don't see a whole lot of him.  He behaves fine when I do see him; he's kind and respectful, but sometimes I wonder if he knows where the organization is going.  My relationhip with him is similar to that of many of my colleagues, with the exception of a few male colleagues who are more highly regarded and valued than everyone else.  I am not entirely sure why this dynamic exists, but it's been that way as long as I've been ere."
313,"I have a great leader, and also a great supervisor.  My leader offered me the job without me even looking for it, and has steadily increased my responsibilities during my time there.  The thing that I appreciate the most is that he sees my potential bette than I do; he regularly gives me projects and tasks that I think are too difficult for me, but I manage to do them, and that makes me proud and happy.  He believes in me more than I do.  He often compliments me when I am alone, and also in meetings.  My o-workers have good relationships with him as well, but some of them are afraid of him, and do not speak up as much as I do.  For example, if he gives us a project and it is taking longer than we thought, he is confident that I will be the one to approachhim before we get in a bind and will notify him that the scope was too big for the time allotted."
314,"My leader provides coaching and development informally, usually by providing suggestions of different ways to handle work and connect with people across the company. He shows respect by listening closely and looking at the details of work product. He'll aso provide information about leadership meetings to give a view of how things are changing within the company and give a greater understanding of the business. He has acted as an advocate within the organization, finding opportunities for projects that wil strengthen my skills. He also perfectly understands the problems within the company culture and is willing to acknowledge them; giving a realistic picture of how initiatives will unfold. Elements of these traits are common in the company culture, but hi transparent style takes these things to a different level."
315,"We are very independent of one another. I consult him when I have an issue or need a larger idea or approval but he he leaves me alone to do my job on a day to day basis. Because I work in a specialized area that he does not know much about, he leaves me lone and lets me work on my own. ITs a good relationship that has taken some time to establish and iron out.. At first it was much more tense but things have evolved. Its different then others in my position because I seem to be trusted more."
316,"I have a give and take relationship with my leader. It is always a win-win situation between us. She provides me with enough learning and gives me opportunity to develop my personal and career growth by allowing me to attend trainings related to my work. he respects my decision all the time and allows me to be independent in terms of finding solution to my problems at work. She always acknowledge my contributions to our organization and I feel well about how she treated me everyday. Sometimes when we havesome work challenges she constantly reminds me that I can always count on her and she got my back. She has become a good friend, boss, and a colleague to me at the same time. I can say I am very lucky to have my job where I am happy working with my colleaues and manager everyday."
317,"i have received not enough to coaching, my leader is the best knowledgeable person he is provide all types of coaching, he respects very much but doesn't show all time. my relationship with leader is very very respectful, he also treat me very respectful n all manner. i didn't hesitate to discuss about the matter with leader at any time. My relationship with my co-worker's are very friendliness, jolly and enjoyable. we are discussing all matter without any worries, hesitation, etc., we are sharing our ides about to solve the problem in work also and don't share with any other person."
318,My leader and I have a good relationship. He is very smart and can guide me quite easily. He teaches me all the things I need to know. I am not afraid to ask a question because of the way he is. He respects me by listening to my ideas. I am not always rigt but he still listens. That is saying a lot. I think my relationship is better than most of my other co workers. Compared to my coworkers I am at the top of the friendship chart. I feel like this is a good thing to be.
319,"Well my leader very much friendly, He helps me through any issue regarding office work and set a path for me to grow in the organisation. He is a good person in many perspective even he gets angry he speaks politely, Even if i did not achieved the target e doesn't show any anger. There are number of other workers but i have a good connection with my leader as compare to others, Because there are certain matching thoughts that we have in common. That might be the reason that he give a little respect to me s compared to others."
320,My leader is great at making sure that if I need help he will help me and if I did something wrong he will tell me. He always makes sure to listen to what I have to say and try's to help me out when he can. I feel like I can go to my leader and ask for soething and be able to talk to him when I need something compared to some of my other coworkers. I know that he is there to help when needed at has my best interests in mind. I know that he will let me know when I need to do something differently and help e to get it done right.
321,I would say overall my relationship is really good with my manager. They allow me to have a lot of independence in how I manage my team. Due to that though I would say my manager does not overly coach or develop me. If I do ever need something from them o need a favor or their help in pushing something through they have always been there for me. I would say overall I am one of the more favored people though of my manager. I do not think others have the same ability to request his help when needed that I d.
322,"My manager provides me training about new updated technologies. He appreciates when I perform good. He values when I put hardwork. He understands my personal problems as well. Sometimes  I have to go home early when my kids are not well. He shows respect owards my personal problem. Whenever decisions need to be taken, he takes our opinion too. Sometimes he has to show strictness but overall he is a good manager. He treats everyone equally. Anyone who is performing good, is appreciated in front of others s others are motivated too to work hard. My co workers too shows respect for my manager because he deserves it."
323,Very very hard and truthful training to me.its will give effort to me.very respective .co workers gives good response to me .Very very hard and truthful training to me.its will give effort to me.very respective .co workers gives good response to me Very vry hard and truthful training to me.its will give effort to me.very respective .co workers gives good response to me Very very hard and truthful training to me.its will give effort to me.very respective .co workers gives good response to me Very very hardand truthful training to me.its will give effort to me.very respective .co workers gives good response to me
324,"I would say it was a good relationship. My boss provides lots of coaching and development. He wants us to do a good job and get it done right the first time. However, he does not hold my hand through the process. He provides guidance and lets me work my wy through it. In this way, it shows respect for my abilities, and does not treat me in an inferior way.  He treats the co-workers in my department the same way. They get some guidance from him, but need to have the ability to work through it themselves."
325,"My relationship with my leader is solid, with mutual respect. My leader dedicates a lot of time to training me and making sure that my work is up to par, while at the same time being kind and attentive when I need it. There is more of a parental aspect wih my manager than with my co-workers, which is understandable, and has undoubtedly contributed to my efforts at work and willingness to go out of my way for her. My manager often brings in snacks for us to eat and takes part in dinners and Christmas gift xchanges as well in order to demonstrate the relationship outside of the workplace."
326,I would describe our relationship as very positive and professional. My leader provides minimum coaching which to me is a positive but he is always there if something out of the ordinary pops up that I don't have an answer for or at the very least need toget a secondary opinion. My leader show's that he respects me just in the way he talk's to me and listens to my opinion's. I like to think my manager treats other co workers in the same manner as he does myself which is pleasantly and professionally. I neer feel like there are any favoritism going on in the work place.
327,My leader gives me advice on what kind of training I would require for promotion and further improvement in my career. He gives me opportunities at company presentations which would enhance my growth and I am able to meet senior representatives of my compny. I am able to present my capabilities and skills in front of the senior management with the help of my leader. 
328,"1) She does not offer much coaching in terms of specifics, but offers insight through her own experiences. She allows me to figure out the technicalities, while she offers a overarching goal for me
2) She shows a high level of respect for any employee. Raely you would find her bad mouthing or disrespecting someone in the organization.
3) I think my relationship with my leader is a little bit more valued than others because of the work I put in. I offer her value and thus we have a better relations than mot co-workers. I take pride in working for her."
329,"My leader has a great working relationship with both me and my co-workers. She is always open to suggestions, and very receptive of new ideas. She also puts effort into remembering little things about each of us; such as I like coffee, a co-worker that loes scarves, and another co-worker that enjoys fishing. She uses this knowledge to incorporate personalization into conversations and gifts. She is always professional, yet relatable when having conversations with us and makes sure to ask for input. She neer intrudes on personal matters, but does make a point to remember spouses names and ask about them. She has asked me to sit in on important meetings so that I am kept up-to-date on organizational happenings and she encourages me to attend seminars and buiness events that are relevant to our organization."
330,My leader threw me into this job. I didn't know how to do it but I learned quickly. With that being said I am the best one for the job. We have always gotten along because we are identical. We both care about the company and we both care about each othersjob. We have been close for over 6 years and know that we have each others back. We know each others job so if any thing should happen either one of us can take over. When one of us is having a bad day we either cheer each other up or stay away from each ther.
331,I see that working relationship with my manager is going great as he helps me out to learn out new things and suggest me the areas that i need to improve and area that i need to focus on. I do feel my manager has showing me a great respect as he used to hve a meeting with me consistently once in every 15 days asking for my concerns and how things going on. If i have any concerns he listens to it and take appropriate actions to get it solved. my relationship with my manager is great as he has a good manageial skills treats me with the respect.
332,When it comes to our relationship its a great one. Its more one of guidance. He is there to make sure I remain on the path that we sat down and set for myself. At any point in time I can go to them with questions dealing with work and other wise. I think hat they have made it clear that their office is always open no matter what. If we succeed then it means they do as well. We are  a part of a team and thus we need to make sure that we make things better for one another.
333,"My leader likes to take credit for all the work done in the building. When we do great, it is because of his leadership. Only a small portion of our success, according to him, is because of what we do. My leader does not show much respect for his employee. Often he is rude and ignores us. It is obvious that he has a certain few in the building that he likes more. The rest of us are practically ignored, even when telling him good morning. He usually just looks as us, walks on, and does not give a response."
334,"I work as a civilian for the Air Force, my supervisor is a great manager and leader. He ensures the people in his department are aware of all dealing in our division, is big on people being recognized for their work and allows his people to do the their jbs.
 He always asked how you are doing and will come to you for advice on things dealing with you expertise. He holds a high regard for his people's experience and supports us completely, and defends us if necessary.  He treats everyone the same in the diision as a leader should."
335,"I would describe my working relationship with my leader as a cordial one. My leader is concerned about production, efficiency, cutting waste numbers, and looking good in the eyes of their own supervisors. My leader does not coach me, other than barking ou general guidelines for current production. I feel that my leader only utilizes me to make themselves look better, and has no interest in me excelling beyond my current position. My leader shows that they respect me by allowing me to stay in my current poition and work. I have a very bland, and baseline relationship with my supervisor. My co-workers' relationships with my supervisor is a little more pleasant and colorful than my relationship with my supervisor."
336,There is lot of support in terms of training and development  is provided by my leader and my company also empower him to take certain decision for the benefit of employee experience. They always cares and respect the the decision taken by me and if they isagree then they specify completely what is the reason behind that. My manager always show a steady behavior with me and my colleague. He provides equal opportunity to all the coworker but look forward to support people who go beyond the expectation in trms of hardwork and smartwork shown by people. Indeed very supportive.
337,"I have been with the company for awhile and have seen many come and go. I am also well acquainted with colleagues in other states as I have done traveling for training sessions several times. My leader is confident in my ability and trust my instincts. Sh does not need to guide me at all, and we communicate well with one another."
338,My leader provides no coaching and development.  There is no opportunity for training and she doesn't want to spend the money.  She doesn't really know anything about my job so she can't provide any sort of help to me at all.  She doesn't show respect at ll but I'm fairly thick skinned about it.  My co-workers absolutely can't stand her.  Every time one of them leaves they file a complaint about her.  She knows more about their jobs so she interferes and micro-manages to a maximum extent.  In that respectit's an advantage for me because she doesn't know anything about my job she can only yell at me if something bad happens.
339,"I have worked with my manager for about 9 years now. When I first started he micro managed every little tasked that I needed to do and would always be telling me what to do and to document what I was doing. Now that we have known each other for so long, Iam allowed to pretty much do whatever it is that I want to do as long as it is for the benefit of the company. I meet with him from time to time to let him know what I've been up to, but other than that, all of our communication is friendly chat."
340,My manager provides me coaching and feedback on a monthly basis.  My manager shows me a great amount of respect on a professional and personal level.  My manager shows the same amount of respect to everyone on our team.  She is interested in my professionl success as well as my personal success.  We spend time together outside of work at holiday parties and team outings.  She is very transparent and easy to get along with.  She as been my direct leader for over 6 years and I am very happy with out relatioship.  I am glad to have her as a supervisor.
341,"My manager canntot really provide coaching and development in my field of work and he knows that, because I am better than him in this aspect. So, being unable to do something on this field he tries to teach me things in other fields, like managing peopleand handling situations as a leader, and I am really thankful for it. So, with all that i get respect from him, but also he frequently tells me that he resoects me for who I am and what I know. That I am unique. The problem is that I believe that he does hat to all my co-workers,so I am not sure hiw meaningful and sincere that is."
342,"Working with my boss/leader is challenging most days. She's an extreme micro manager and consistently doesn't believe that I am capable of doing my job, though I've never given her provocation to believe elsewise. I don't find her relatable, nor friendly.She challenges me on every suggestion I make to management. I feel absolutely no respect from her and feel more like i'm treated like a child. I have better relationships with my other co-workers and others have said she is difficult to work for and/or wok in a group with. My leader has been admonished numerous times by her boss. I would like to have any other boss but her."
343,"My leader strives to provide great results for our customers. In my position, there is not much coaching required. My leader is always courteous in conversation and when asking me to take on a task. I think that my relationship is at about the same level s others that work with me, although at times I feel as though I have move flexibility to do my job as I see fit due to seniority and experience. All in all, my leader is very easy to get along with and they are always willing to assist me in any way possble."
344,"My leader provides needed equipment and information to do my job well. When something is needed, he goes out of his way to provide it with out questioning me. He treats me the way he wants to be treated, with respect. If I need to leave early or have an eergency, he undersands 100%. I go above and beyond and he shows that he knows that I do so. He treats all of his employees this way, I am no different than the rest. We dont overstep boundaries in the work place, work is work and home is home."
345,My leader gives me an efficient and nice coaching on any subject related to work. He is willing to coach at any time if i ask him any doubts. My leader cares for me helps me in my work if i get into trouble and thus shows great respect for me. He also motvates me greatly if i finish my work quickly and also encourages me to my work without any pressure and mistakes. My relationship with my leader is very good and i like him so much and his care is very essential for the better achievement of my goals.
346,"I have a good relationship with my leader at work. I have worked with him a long time, I knew him quite a bit before he got promoted. I have worked at my current position for a long time now, and I am very competent in how I do my job. As such, my leader eans on me when he needs someone to do something and know that they won't screw it up. I like him on a personal level also, he is fun to talk with. I would say overall that I have a very good relationship with my leader at work."
347,"My leader provides me with a lot of coaching and development, and he really tries to understand what I need from him. He goes above and beyond to assign me tasks that he knows I will enjoy, and that use my education and skill set in the analytics field. Ithink that all of my coworkers have a good relationship with our manager because he is always willing to talk to people and hear what they are doing well with and what they are struggling with so that he can do anything he can to help us in that situation"
348,"I have been very lucky to have had terrific managers during my career so far. I have respected each of them, and got along well with all of them. She knows how to motivate people in our team. She is approachable and gives a good advice when need. I have fund that if I take the time to talk with my manager at the beginning of a project, we can all get off to a great start on the same page. She resolve conflict quickly and efficiently. She show that she cares about the employees and thus give a very good atosphere in the office."
349,My leader is a an excellent coach and cheerleader for my efforts. She is supportive and give compliments to show she appreciates my work. She has this same relationship with all members. She is great at helping my find resources to guide the next step in y career. She cares about the process rather than being extremely results oriented at all costs.
350,My relationship with the leader is the same as anyone elses. He treats us all with respect and is there in order to help us achieve team goals as well as the individual goals we have set for ourselves in order to be the best we can be. I think that that teir ability to be there and help us out when it comes to us needing some guidance and assistance he is always able to use his experience and expertise in order to find the best solution for us that the issue that we are facing. They make sure that we haveall we need to get things done.
351,"After years of having the same supervisor and working in close contact throughout the day, each day, every day for the last 12 years - we have developed an understanding that does not require ant words between each other, I understand my job, my leader knws I understand my job.  I rarely ever have to ask for guidance but if I did I know that she is there for me. I never feel funny or awkward having to ask for guidance if need be, we have developed a complete working relations during hours and a nice tende relationship after hours."
352,I describe my relation with my leader as a strong one. He always give us the opportunity to learn new technology and provide us knowledge of whats new going on outside the company. He always have a smile talking with me in front of other colleagues and inroduces me with the new manager whenever they come to visit us. My leader have a good nature and he treats all the colleagues in the team as equal. He don't show any in balance with in the team. He always gives us the oppurtunity to learn new thing and alays praises us for the job well done.
353,"We work at a restaurant, and it seems like he's happier to stick with what we've been doing (some menu items have been running for over a decade) than try something new. Part of me feels like he's a creature of habit to the point of detriment or something It's not a destructive trait BUT it also doesn't move us 'forward' in any way. Another part of me feels like he just hasn't found his voice yet. If so it's something we can relate on, and a productive conversation could come of it. If not, then the sous hef and I could probably come up with some great things."
354,"I have a great relationship with my boss. She's possibly the best supervisor I've ever had - very collegial, very respectful, and appreciative of our value and skills. She is not big on demonstrations of authority or hierarchy, instead she really works asa team member with her team. She does provide direction and a sense of mission, but she really works with us, and never acts in an authoritarian way. About being respectful: she always listens to what we have to say, clearly values our input and lets us tke ownership of our projects. And she never acts like she matters more than us in the great scheme of things. As far as I can see, she acts the same way with all her subordinates - I don't feel like I have a ""special"" relationship with her, she simply is hat way with everybody. When it comes to coaching and development though, there is not much of that going on, probably because of time constraints."
355,"My manager more or less treats me like an equal. She has been a great mentor and helped me to grow my skills a great deal since I have worked for the company. I sometimes think she struggles with delegating and with finishing tasks because she takes on th bulk of the workload, so I try to help her out whenever I can, and I know she appreciates it. When I am feeling overwhelmed, she steps up and takes something off my plate for me. We are also friends outside of work. Overall, I think she is a great leader"
356,"We have weekly staff meetings that are lead by my manager. She uses that time to give the over-all big picture, but also will speak with us individually about tasks and goals. She's also willing to give one-on-one time to focus on my future goals within te organization. I believe the best way my manager shows her respect is to be hands-off. She's not constantly hovering over us to check our work or see what we are doing. I connect more with my manager on a professional level whereas I have coworkers who cnnect with her additionally on a personal level."
357,"I mostly have negative opinion with my partner. I sometimes get upset with him. in case of any problems , I have tom face him terribly. I have worst experience compared to my other workers relationship. So my relationship is not that much secure. Passive ggressiveness is a strategy used when a person basically isn’t able to confront issues directly so instead will use indirect means of criticizing you. It could be in the form of comments or actions that make you question yourself or cause you to make mitakes."
358,"My relationship with my leader is a give and take and is better than most of my fellow co workers. My leader gives me more space and relies on my skills and commitment to take care of my responsibilities without having to be a helicopter leader. My leaderhas not shown me much coaching beyond my initial training period. However, there are some times when the leader goes out of the way to demonstrate a new selling or promoting technique to me as well as other employees. But for the most part my leader has ahands off approach as looking no as the leader is kept in the loop financially."
359,My leader is typically there for me and willing to help develop me professionally by providing on site training and development activities throughout the year. She shows that she respects me by understanding if projects do not go correctly as planned and s willing to work with me to figure out better solutions to problems. She allows me to do things my way and lets me work independently without always feeling the need to be over my shoulder. My relationship with my leader is about the same as my coworkersrelationship with the leader. There is not much variation in one individual having a much better relationship than another.
360,"I'm the equivalent of Milton in the movie Office Space. I had my own office at one point, now I'm in a cubicle on the other side of the building next to the filing cabinets in a corner all by myself. Everyone forgets that I even work here because I'm thatfar away from the rest of my coworkers. I'm not included in the department updates, nor the memos, they have meetings without me, etc. My boss gets along with everyone but he is not as friendly with me."
361,"We have a good relationship - my manager is less technical than I am in the field we work in, so a lot of our working relationship is less technically-minded, which is a bit frustrating for me - so the coaching aspect of our relationship is less about theactual work I'm doing and more about managing the soft skills of the position. My manager definitely respects me and frequently tells me and others that my contributions are great for the company. Among other coworkers, everybody respects and enjoys beingunder the leadership of our manager - they do good work."
362,"My leader routinely coaches me on the softer skills that are required for advancement. He has much faith in my technical skills and abilities to do the job, but he works frequently with me on building out the larger skills required to have long-term succes in business. 

He treats me with a friendly demeanor, although not afraid to correct incorrect work or actions firmly. It is honestly a wonderful relationship and I feel he treats my colleagues similarly. 

As a whole, I can say that he has my interestsat heart, while also working to advance the organization and I cannot ask much more than that."
363,"When I joined the company I was new to the corporate culture. I was even naive about my dressing sense. My supervisor too time to explain me on how to present myself. I was so straight forward and too honest to be compatible with colleagues. He asked me t stop teaching others about morality. He wanted me succeed in life and in my job rather than fighting and teaching others. He asked me to be a role model to others.

After few years, whenever there arises a crisis, he tell everyone to learn from me. 

Thogh he does the same for others too, only few people learnt from him. I am proud to say I am one among them."
364,"My leader and I have a good working relationship. We have semi-formal join-ups every quarter (three months) to discuss more work plan as well as my career goals. He also provides me with an assessment of my potential within the company. Outside of these jin-ups, we have informal conversations nearly almost every day. We both work near each other so we see each other every day. I enjoy working with someone in person vice remotely. My leader provides very similar feedback and behavior to my other co-workers Overall he is a good leader that understands his people and enjoys working with others."
365,"My leader does not provide much coaching or development.  We have mostly the same work tasks and demands.  He just so happens to have been with the organization longer than I have, so he has seniority over me.  We do mostly the same.  There is no need forhim to coach me much, and I'm expected to coach myself, and learn any aspects of the work myself.  He certainly respects me, but he doesn't really show it.  We have a pretty mutual empathetic relationship for each other.  We work alongside of each other t complete the same objectives, and we cooperate and try to stay out of each other's way."
366,"My working relationship with my supervisor is nearly perfect. If I make any mistakes, which I rarely do, I can expect fair and concise coaching on the subject. My leader shows that he respects me on a daily basis by asking for my ideas and input on work rlated manners. I believe that my coworkers also have a very appropriate, warm and friendly relationship with my supervisor. I believe that he is fair and understanding and everyone that appreciates that does benefit from his experience and interactions. I people have a good work ethic they have no trouble getting along with him."
367,"Last year my leader at work was also the one who formally evaluated me so I got to know her pretty well. For the evaluation we had to spend hours together talking about my performance on a really long rubric they must use. I have received a lot of positiv feedback, but also had areas identified that I needed help and future training on. My leader shows that she respects me by listening to what I have to say and praising the good things I'm already doing. I believe my coworkers have had the same experience with this person because she is equitable to all workers."
368,very very good leader to me its may gods gift.he give more respect to me always.all respects same to all peopls.here equality is must.very very good leader to me its may gods gift.he give more respect to me always.all respects same to all peopls.here equaity is mustvery very good leader to me its may gods gift.he give more respect to me always.all respects same to all peopls.here equality is mustvery very good leader to me its may gods gift.he give more respect to me always.all respects same to all peoplshere equality is mustvery very good leader to me its may gods gift.he give more respect to me always.all respects same to all peopls.here equality is mustvery very good leader to me its may gods gift.he give more respect to me always.all respects same to ll peopls.here equality is mustvery very good leader to me its may gods gift.he give more respect to me always.all respects same to all peopls.here equality is mustvery very good leader to me its may gods gift.he give more respect to me always.all respect same to all peopls.here equality is must
369,"I would say that my personal working relationship with my supervisor is better than that with a lot of my other coworkers. He knows that of all the other people here he can count on me to not screw him over in terms of simple things like meeting deadlinesor not being late without good cause. We have a good relationship that also includes a fair amount of humor. I would say that we genuinely like each other, which makes it more fun and easy to work here even or especially during the busiest seasonal times.I think that I would spend effort to maintain this status."
370,I have a good relationship with my supervisor.  She does not really need to coach or develop my technical skills but she does coach me on how to handle policies and regulations set by the company.  I really believe that she values my work and respects my ffort and knowledge of the industry.  She seems to have a good relationship with other employees but she does seem to rely on me more than she does on others.  She appreciates the fact that I need little guidance and I am always helping others.  When she s not there she usually puts me in charge.
371,"Almost for any work my leader believe me to a extent that he simply asks me to carry out the job. Whenever he has doubt in his work without any hesitation or ego he asks me to clarify it. We have a mutual understanding that we both work for the best and w respect each other. The co-workers also have a cordial relationship with me and with the leader. We work as a team to achieve the good ideals of the department. Moreover everyone in the team is more caring, flexible and friendly to work with. Great team ork together!!"
372,"I have a difficult working relationship with my leader. It is very inconsistent and I never know how she will react to a particular situation on any given day. Somedays it may be a positive reaction but sometimes there is a negative reaction to the same stuation. I receive an equal amount of coaching and development as most other staff although there are a few who are shown more respect in situations. I have learned that if I approach at the right time and in the right way, I will have better, more positie reactions. It's also better to ask for development as it's more likely to happen if it's asked for than if you wait for it to be offered."
